100
70
-10 70 -61 -50 -41 -82 -86 -95 100 -89 49 -49 -80 95 -52 13 -15 44 42 -62 -86 62 -21 56 -30 -69 -76 -15 -67 -26 62 -96 82 -98 88 92 -47 -76 74 21 73 51 14 -64 -34 77 12 -36 -14 24 96 -75 33 78 22 -24 58 90 -91 -23 -48 -22 86 -70 -57 -71 -67 -69 76 -79 -82 11 68 -87 -5 -29 9 -67 9 -85 56 -47 70 4 37 -15 0 10 66 30 -18 -90 -10 -53 -91 39 -89 -68 48 -16 
30 -19 -31 31 -70 73 -86 5 29 9 26 -1 27 65 13 94 89 -12 -25 -8 -19 5 83 56 80 -96 97 5 -54 92 -1 40 -70 52 -4 -70 39 -38 73 -48 93 -84 -35 -98 -6 77 -12 -57 33 -48 51 47 55 33 -39 -56 47 16 -6 60 18 92 88 13 -38 12 -81 4 -64 -57 
-27 -38 -61 -87 94 58 2 -24 -80 -73 -25 -79 -95 17 -36 25 40 39 -42 -88 65 41 4 97 36 38 -90 82 19 -74 90 50 17 59 74 8 47 -11 1 86 -11 -57 35 -70 -88 31 99 -79 -72 99 -89 68 53 -85 81 -26 53 -54 94 -63 -62 -98 -25 87 -19 29 64 -38 24 2 86 -6 -91 62 -90 -74 -72 -50 63 -34 -83 88 -80 61 -99 81 44 -4 51 -30 19 -84 73 -78 54 54 -51 49 29 45 <
-90 -36 63 69 -78 -43 -81 69 -94 -42 -28 -90 -21 41 -32 72 7 -90 -30 53 4 17 75 66 7 27 -89 77 -86 72 78 99 3 23 39 2 21 82 15 -9 -51 51 -36 -73 58 -46 -35 74 -7 -76 -40 34 -40 61 35 -10 -65 -71 -19 5 -10 -52 60 64 14 -59 60 52 78 60 85 -78 -67 -89 -29 12 -59 75 55 85 31 -35 63 -44 62 78 59 -16 59 96 -66 56 -38 29 32 19 -16 -46 -91 48 <
63 -70 -26 60 3 -71 -65 -1 -74 -79 63 0 89 39 0 -57 56 -21 91 -48 47 50 32 -61 68 89 98 -47 -62 70 35 -100 94 79 48 6 47 82 -52 82 100 71 -63 17 72 -93 -79 69 -28 52 19 -16 51 -99 -77 -60 0 38 -30 84 24 8 28 53 -62 36 91 -10 75 -70 -71 93 -92 -18 -87 -19 98 29 52 47 48 -65 25 -61 -32 22 33 83 -99 -76 56 -77 66 97 6 -100 -52 24 28 51 <
68 53 -59 -100 -51 -11 43 -14 78 -20 20 23 -24 -51 58 -77 21 -4 -94 -97 9 85 -18 91 45 -17 -73 -85 29 -69 48 -49 7 -86 72 9 -95 -33 82 -79 45 64 -2 -15 -5 -98 92 41 86 -67 24 -57 31 -48 -85 57 -95 17 -76 31 -43 64 92 86 68 95 -27 13 46 -53 -76 -85 -25 -99 -88 -86 -30 20 53 28 96 84 9 -69 27 -91 -10 88 10 -12 76 91 73 35 -36 89 87 -89 -9 20 >
28 80 37 -17 44 22 -81 -29 -25 -4 82 2 7 -45 -77 60 -13 55 -11 30 9 -21 92 -55 59 -94 58 81 15 -40 91 -34 10 -30 -84 -60 -3 49 -82 -41 15 94 -54 9 76 97 14 92 24 6 -25 24 -16 -75 -66 -32 -38 72 16 -55 79 -5 -58 16 60 91 30 -22 8 -55 32 -24 -47 -85 8 1 48 69 -64 -20 92 -97 -30 47 -63 -26 33 49 79 56 62 83 20 29 14 10 78 24 -65 -42 >
51 -40 -96 36 -34 -42 32 29 -84 -52 -73 81 60 -49 86 -82 95 -22 -51 -86 41 100 47 88 56 -99 12 75 -19 -29 -53 0 -88 55 55 -12 -58 -17 23 -27 27 -65 -13 -78 6 -34 -66 -28 -87 -17 37 -70 -67 -99 81 -26 -87 37 13 -86 -23 -10 40 -44 36 -17 37 -28 13 53 -72 54 -49 0 -33 -34 -94 -94 28 41 18 2 21 21 100 -97 75 -71 -66 19 55 14 74 -7 -28 -71 -49 -80 15 23 <
82 -37 -92 -5 84 56 -78 65 -24 -80 21 50 -65 -21 11 76 81 83 23 9 -88 29 62 -15 5 -76 -78 -70 29 97 62 90 -41 38 -10 -65 72 78 -57 -4 -31 -91 41 -49 78 92 63 73 20 72 25 -99 -29 -37 -72 93 72 -58 67 17 41 39 -7 23 22 86 0 51 14 24 42 -66 -12 -66 -14 -87 64 41 1 -24 13 -20 -34 -29 83 37 -47 62 -73 -32 -46 77 -71 74 -48 -35 81 -73 38 48 <
-50 21 72 -11 -3 -28 -15 2 -92 -20 -15 21 86 -43 38 29 -46 -58 -50 11 9 75 -90 85 -79 45 -4 -17 -77 84 24 -28 100 6 -11 41 -28 -97 -13 -15 4 12 30 93 -98 -28 35 -93 -49 40 35 42 46 59 -96 -15 79 -20 73 17 87 67 91 -44 -88 -21 -47 15 94 4 -31 -41 -95 -13 -20 59 94 -52 -5 82 60 -98 -78 -34 -38 -69 -87 91 -68 -97 18 -68 -63 14 12 -58 -33 -20 -49 96 =
95 -90 -6 -82 -14 86 -12 -67 -2 -77 45 5 38 -3 -79 -94 -15 -91 100 -27 71 -43 -29 76 73 -80 41 48 82 -26 97 -70 2 86 63 -65 13 -41 -7 8 -13 -96 -23 -35 -36 29 3 -99 53 -53 -60 33 8 98 40 96 -81 1 -42 71 39 27 22 91 50 38 -37 -12 -29 66 6 91 -71 -96 22 -97 14 13 -85 20 -36 -60 -7 -30 82 77 -68 -73 83 1 -41 -64 -90 -64 -55 88 58 -30 72 50 <
-63 -31 -41 40 -4 24 -40 90 -53 75 -41 86 92 65 66 99 -67 97 98 -69 -72 49 -6 63 -52 63 -56 20 -54 41 -18 -27 -23 -63 -68 -23 31 -59 8 96 -29 84 -52 -52 38 54 -21 -69 -45 -40 14 2 -96 -10 14 -4 -63 -54 18 -94 29 55 -54 -87 -100 54 2 -38 -86 42 54 81 50 -7 83 -12 61 65 43 14 90 86 -6 -71 -98 -37 -52 -8 90 -66 93 -65 87 -41 67 40 52 20 55 0 =
